4,35,13
4,45,35
4,55,51
5,5,76
5,15,159
5,25,193
5,35,284
5,45,373
5,55,362
6,5,271
6,15,241
6,25,305
6,35,388
6,45,339
6,55,540
7,5,652
7,15,761
7,25,1486
7,35,700
7,45,944
7,55,2468
8,5,2056
8,15,1974
8,25,2700
8,35,3074
8,45,2597
8,55,2594
9,5,3040
9,15,3423
9,25,3639
9,35,3742
9,45,3883
9,55,4003
10,5,4309
10,15,4435
10,25,4557
10,35,4626
10,45,4660
10,55,4732
11,5,4809
11,15,4860
11,25,4714
11,35,4787
11,45,4850
11,55,4573
12,5,5026
12,15,4664
12,25,5119
12,35,5228
12,45,5307
12,55,5263
13,5,5135
13,15,5190
13,25,5512
13,35,5228
13,45,5099
13,55,5191
14,5,5276
14,15,5282
14,25,5274
14,35,5378
14,45,5079
14,55,5221
15,5,5205
15,15,4944
15,25,5279
15,35,4804
15,45,5224
15,55,4884
16,5,4733
16,15,4556
16,25,4707
16,35,4811
16,45,4159
16,55,4307
17,5,3845
17,15,3729
17,25,4206
17,35,3515
17,45,3320
17,55,2996
18,5,3247
18,15,2688
18,25,2267
18,35,2286
18,45,2159
18,55,1697
19,5,1398
19,15,1196
19,25,973
19,35,803
19,45,651
19,55,471
20,5,541
20,15,280
20,25,303
20,35,180
20,45,114
20,55,36
21,5,9
